Date,City,NO2,O3,CO,PM2.5,AQI,Month,Wind_Speed,Precip,Temp,Target_AQI,AQI_Lag1,AQI_7Day_Mean
1999-02-26,Los Angeles,48.652174,0.031235,2.36087,22.4,73.0,2,5.83152,0.0,55.94,106.0,79.0,80.85714285714286
1999-02-27,Atlanta,34.5,0.0075,1.829167,39.1,110.0,2,4.082064,0.2716535433070866,55.94,43.0,89.0,81.14285714285714
1999-02-27,Los Angeles,66.0,0.025529,3.520833,37.6,106.0,2,4.276448,0.0,57.02,111.0,73.0,81.85714285714286
1999-02-28,Atlanta,9.583333,0.0075,0.5125,10.4,43.0,2,12.63496,0.0314960629921259,53.96,57.0,110.0,79.0
1999-02-28,Los Angeles,66.26087,0.042647,3.773913,39.5,111.0,2,3.88768,0.0,59.0,117.0,106.0,89.0
1999-03-01,Atlanta,22.791667,0.0075,0.341667,14.8,57.0,3,10.496736,0.0,50.0,72.0,43.0,78.71428571428571
1999-03-01,Los Angeles,79.956522,0.031647,4.520833,42.2,117.0,3,4.082064,0.0,59.0,124.0,111.0,96.57142857142857
1999-03-02,Atlanta,39.235294,0.0075,0.970833,15.9,72.0,3,5.053984,0.0,55.04,61.0,57.0,80.14285714285714
1999-03-02,Los Angeles,80.956522,0.028706,3.016667,44.9,124.0,3,4.8596,0.0,60.08,95.0,117.0,101.85714285714286
1999-03-03,Atlanta,15.625,0.0075,0.279167,16.7,61.0,3,13.801264000000002,0.2913385826771653,48.02,70.0,72.0,75.14285714285714
1999-03-03,Los Angeles,49.913043,0.033765,2.220833,32.8,95.0,3,6.9978240000000005,0.0118110236220472,57.92,60.0,124.0,100.71428571428571
1999-03-04,Atlanta,23.0,0.0075,0.768182,21.2,70.0,3,9.136048,0.0,41.0,79.0,61.0,71.71428571428571
1999-03-04,Los Angeles,36.521739,0.037529,1.347826,16.4,60.0,3,7.580976,0.0,57.92,65.0,95.0,98.0
1999-03-05,Atlanta,38.541667,0.0075,1.4625,25.2,79.0,3,5.83152,0.0,46.94,77.0,70.0,70.28571428571429
1999-03-05,Los Angeles,46.043478,0.028118,2.465217,15.7,65.0,3,5.637136000000001,0.0,57.02,48.0,60.0,96.85714285714286
1999-03-06,Atlanta,22.416667,0.0075,0.908333,24.4,77.0,3,8.941664000000001,0.2598425196850394,57.02,58.0,79.0,65.57142857142857
1999-03-06,Los Angeles,40.869565,0.048706,2.345833,15.0,48.0,3,6.9978240000000005,0.0,53.96,56.0,65.0,88.57142857142857
1999-03-07,Atlanta,13.083333,0.0075,0.358333,15.5,58.0,3,9.7192,0.0,44.96,42.0,77.0,67.71428571428571
1999-03-07,Los Angeles,35.086957,0.041059,1.373913,14.3,56.0,3,9.524816,0.0,55.94,61.0,48.0,80.71428571428571
1999-03-08,Atlanta,14.4,0.0075,0.616667,10.1,42.0,3,12.63496,0.0,42.08,68.0,58.0,65.57142857142857
1999-03-08,Los Angeles,46.478261,0.036765,1.504348,14.333333333333334,61.0,3,8.164128,0.0,55.04,52.0,56.0,72.71428571428571
1999-03-09,Atlanta,24.058824,0.0075,0.9,20.3,68.0,3,8.358512,0.4606299212598425,37.94,70.0,42.0,65.0
1999-03-09,Los Angeles,44.913043,0.031529,2.154167,14.366666666666667,52.0,3,7.969744000000001,0.1496062992125984,53.96,56.0,61.0,62.42857142857143
1999-03-10,Atlanta,21.166667,0.0075,0.554167,21.1,70.0,3,9.7192,0.0,44.96,73.0,68.0,66.28571428571429
1999-03-10,Los Angeles,42.130435,0.040412,1.904167,14.4,56.0,3,8.358512,0.0,51.08,55.0,52.0,56.857142857142854
1999-03-11,Atlanta,24.166667,0.0075,0.408333,22.4,73.0,3,8.164128,0.1181102362204724,44.06,61.0,70.0,66.71428571428571
1999-03-11,Los Angeles,45.391304,0.032357,1.595652,21.7,55.0,3,8.164128,0.0905511811023622,51.98,77.0,56.0,56.142857142857146
1999-03-12,Atlanta,37.166667,0.0075,0.9125,13.0,61.0,3,4.470832000000001,0.0,44.96,81.0,73.0,64.14285714285714
1999-03-12,Los Angeles,52.173913,0.023471,2.5,29.0,77.0,3,6.220288,0.0,53.06,103.0,55.0,57.857142857142854
1999-03-13,Atlanta,24.458333,0.0075,0.9875,26.2,81.0,3,11.468656,0.4212598425196851,44.06,67.0,61.0,64.71428571428571
1999-03-13,Los Angeles,60.434783,0.035706,3.529167,36.3,103.0,3,5.83152,0.0,59.0,74.0,77.0,65.71428571428571
1999-03-14,Atlanta,14.541667,0.0075,0.620833,19.8,67.0,3,11.66304,0.7086614173228347,44.06,42.0,81.0,66.0
1999-03-14,Los Angeles,46.478261,0.047176,1.704167,30.93333333333333,74.0,3,4.665216000000001,0.0,55.94,51.0,103.0,68.28571428571429
1999-03-15,Atlanta,15.541667,0.0075,0.470833,10.0,42.0,3,11.857424000000002,0.0,46.04,68.0,67.0,66.0
1999-03-15,Los Angeles,36.26087,0.031235,1.586957,25.566666666666663,51.0,3,10.302352,0.6614173228346457,51.98,68.0,74.0,66.85714285714286
1999-03-16,Atlanta,42.529412,0.0075,1.182609,19.4,68.0,3,4.276448,0.0,51.98,74.0,42.0,66.0
1999-03-16,Los Angeles,47.043478,0.030235,2.383333,20.2,68.0,3,6.414672,0.0196850393700787,53.06,50.0,51.0,69.14285714285714
1999-03-17,Atlanta,42.708333,0.0075,1.854167,21.9,74.0,3,5.248368,0.0,57.02,74.0,68.0,66.57142857142857
1999-03-17,Los Angeles,42.695652,0.023765,1.469565,21.466666666666665,50.0,3,4.8596,0.0,55.04,55.0,68.0,68.28571428571429
1999-03-18,Atlanta,33.8,0.0075,0.720833,23.2,74.0,3,8.941664000000001,0.0,60.08,64.0,74.0,66.71428571428571
1999-03-18,Los Angeles,42.826087,0.029176,1.569565,22.733333333333334,55.0,3,6.609056000000001,0.0,57.92,76.0,50.0,68.28571428571429
1999-03-19,Atlanta,32.909091,0.0075,0.654167,16.2,64.0,3,6.025904000000001,0.0,59.0,69.0,74.0,67.14285714285714
1999-03-19,Los Angeles,47.347826,0.030059,2.504167,24.0,76.0,3,5.83152,0.0,55.94,58.0,55.0,68.14285714285714
1999-03-20,Atlanta,30.625,0.0075,1.016667,20.5,69.0,3,6.414672,0.0,62.059999999999995,81.0,64.0,65.42857142857143
1999-03-20,Los Angeles,36.913043,0.034529,1.617391,22.466666666666665,58.0,3,7.580976,0.2992125984251968,55.94,58.0,76.0,61.714285714285715
1999-03-21,Atlanta,16.041667,0.0075,0.5875,26.4,81.0,3,11.857424000000002,0.1889763779527559,55.04,91.0,69.0,67.42857142857143
1999-03-21,Los Angeles,32.73913,0.035,1.733333,20.933333333333334,58.0,3,8.74728,0.0,55.94,66.0,58.0,59.42857142857143
1999-03-22,Atlanta,23.958333,0.0075,0.529167,31.0,91.0,3,7.192208000000001,0.0,51.98,91.0,81.0,74.42857142857143
1999-03-22,Los Angeles,40.652174,0.037882,2.045833,19.4,66.0,3,6.609056000000001,0.0,55.94,58.0,58.0,61.57142857142857
1999-03-23,Atlanta,55.352941,0.0075,1.5,21.3,91.0,3,3.88768,0.0,57.02,82.0,91.0,77.71428571428571
1999-03-23,Los Angeles,36.478261,0.026353,1.495652,24.7,58.0,3,6.025904000000001,0.0118110236220472,57.02,58.0,66.0,60.142857142857146
1999-03-24,Atlanta,41.2,0.0075,1.15,26.7,82.0,3,5.053984,0.3503937007874016,59.0,88.0,91.0,78.85714285714286
1999-03-24,Los Angeles,40.173913,0.035765,2.1625,30.0,58.0,3,6.80344,0.0,55.94,100.0,58.0,61.285714285714285
1999-03-25,Atlanta,31.473684,0.0075,0.866667,29.9,88.0,3,6.414672,0.0708661417322834,51.08,61.0,82.0,80.85714285714286
1999-03-25,Los Angeles,48.217391,0.023294,2.143478,35.3,100.0,3,7.580976,0.8818897637795275,53.06,64.0,58.0,67.71428571428571
1999-03-26,Atlanta,24.5,0.0075,0.695833,17.0,61.0,3,9.524816,0.0,48.02,76.0,88.0,80.42857142857143
