Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2010-07-18,27,Unknown,Burbank,06-037-1002,AQS
2010-07-19,30,Unknown,Santa Clarita,06-037-6012,AQS
2010-07-20,27,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-07-21,30,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-07-22,27,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-07-23,34,Unknown,Glendora,06-037-0016,AQS
2010-07-24,34,Unknown,Glendora,06-037-0016,AQS
2010-07-25,25,Unknown,Glendora,06-037-0016,AQS
2010-07-26,26,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-07-27,32,Unknown,Santa Clarita,06-037-6012,AQS
2010-07-28,30,Unknown,Burbank,06-037-1002,AQS
2010-07-29,41,Unknown,Pomona,06-037-1701,AQS
2010-07-30,41,Unknown,Pomona,06-037-1701,AQS
2010-07-31,33,Unknown,Burbank,06-037-1002,AQS
2010-08-01,42,Unknown,Burbank,06-037-1002,AQS
2010-08-02,54,Unknown,Pomona,06-037-1701,AQS
2010-08-03,52,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-04,44,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-08-05,36,Unknown,Burbank,06-037-1002,AQS
2010-08-06,44,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-08-07,26,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-08,27,Unknown,West Los Angeles,06-037-0113,AQS
2010-08-09,41,Unknown,Pomona,06-037-1701,AQS
2010-08-10,41,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-08-11,39,Unknown,Pomona,06-037-1701,AQS
2010-08-12,42,Unknown,Pomona,06-037-1701,AQS
2010-08-13,58,Unknown,Pomona,06-037-1701,AQS
2010-08-14,38,Unknown,Pomona,06-037-1701,AQS
2010-08-15,38,Unknown,Pomona,06-037-1701,AQS
2010-08-16,51,Unknown,Pomona,06-037-1701,AQS
2010-08-17,67,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-18,66,Unknown,Pomona,06-037-1701,AQS
2010-08-19,57,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-20,60,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-21,52,Unknown,Pomona,06-037-1701,AQS
2010-08-22,42,Unknown,Burbank,06-037-1002,AQS
2010-08-23,69,Unknown,Pomona,06-037-1701,AQS
2010-08-24,88,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-08-25,65,Unknown,Pomona,06-037-1701,AQS
2010-08-26,70,Unknown,Pomona,06-037-1701,AQS
2010-08-27,51,Unknown,Pomona,06-037-1701,AQS
2010-08-28,30,Unknown,Santa Clarita,06-037-6012,AQS
2010-08-29,25,Unknown,West Los Angeles,06-037-0113,AQS
2010-08-30,46,Unknown,Pomona,06-037-1701,AQS
2010-08-31,53,Unknown,Pomona,06-037-1701,AQS
2010-09-01,67,Unknown,Pomona,06-037-1701,AQS
2010-09-02,67,Unknown,Pasadena,06-037-2005,AQS
2010-09-03,72,Unknown,Pomona,06-037-1701,AQS
2010-09-04,66,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-09-05,41,Unknown,Pomona,06-037-1701,AQS
2010-09-06,24,Unknown,Santa Clarita,06-037-6012,AQS
2010-09-07,41,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-09-08,23,Unknown,Pomona,06-037-1701,AQS
2010-09-09,31,Unknown,Pomona,06-037-1701,AQS
2010-09-10,39,Unknown,Pomona,06-037-1701,AQS
2010-09-11,41,Unknown,Pomona,06-037-1701,AQS
2010-09-12,44,Unknown,Pomona,06-037-1701,AQS
2010-09-13,53,Unknown,Pomona,06-037-1701,AQS
2010-09-14,51,Unknown,Pomona,06-037-1701,AQS
2010-09-15,49,Unknown,Pomona,06-037-1701,AQS
2010-09-16,48,Unknown,Pasadena,06-037-2005,AQS
2010-09-17,53,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-09-18,47,Unknown,Pomona,06-037-1701,AQS
2010-09-19,42,Unknown,Pomona,06-037-1701,AQS
