STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-02,,,,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-03,48.0,56.0,42.0,
USW00023191,"AVALON CATALINA AIRPORT, CA US",2022-01-03,,56.0,44.0,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022-01-03,,,,
USW00023182,"PALMDALE AIRPORT, CA US",2022-01-03,,52.0,24.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-03,,,,
USR0000CLEO,"LEO CARRILLO CALIFORNIA, CA US",2022-01-03,54.0,60.0,48.0,
US1CALA0021,"ARCADIA 2.1 NNE, CA US",2022-01-03,,,,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-03,,,,
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-03,,,,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-03,,66.0,37.0,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-03,,,,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-03,,,,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022-01-03,,,,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022-01-03,,,,
US1CALA0023,"DIAMOND BAR 1.9 NNE, CA US",2022-01-03,,,,
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-03,44.0,57.0,34.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-03,,,,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-03,53.0,67.0,44.0,
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-03,50.0,58.0,44.0,
US1CALA0064,"LOS ANGELES 2.6 NW, CA US",2022-01-03,,,,
USC00046773,"PEARBLOSSOM, CA US",2022-01-03,,50.0,28.0,45.0
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022-01-03,,64.0,39.0,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022-01-03,,,,
USR0000CVAY,"VALYERMO CALIFORNIA, CA US",2022-01-03,37.0,54.0,25.0,
US1CALA0077,"LANCASTER 5.5 E, CA US",2022-01-03,,,,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2022-01-03,,62.0,43.0,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022-01-03,,,,
USC00048014,"SAUGUS POWER PLANT 1, CA US",2022-01-03,,,,
USR0000CWPK,"WHITAKER PEAK CALIFORNIA, CA US",2022-01-03,47.0,56.0,40.0,
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2022-01-03,,,,
USC00046602,"PACOIMA DAM FC33A E, CA US",2022-01-03,,,,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022-01-03,,,,
USW00003122,"TORRANCE AIRPORT, CA US",2022-01-03,,61.0,39.0,57.0
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2022-01-03,,62.0,42.0,
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2022-01-03,53.0,66.0,44.0,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2022-01-03,48.0,63.0,38.0,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022-01-03,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2022-01-03,,60.0,44.0,
USC00040144,"ALTADENA, CA US",2022-01-03,,,,
US1CALA0068,"ARTESIA 0.5 W, CA US",2022-01-03,,,,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2022-01-03,,,,
US1CALA0067,"SANTA CLARITA 3.1 WSW, CA US",2022-01-03,,,,
USR0000CTAN,"TANBARK CALIFORNIA, CA US",2022-01-03,50.0,62.0,42.0,
US1CALA0104,"SAN FERNANDO 7.8 SW, CA US",2022-01-03,,,,
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022-01-03,54.0,59.0,49.0,
