Date,Ozone AQI Value,Main Pollutant,Site Name,Site ID,Source
2005-01-16,32,Unknown,Georgia Station,13-231-9991,AQS
2005-01-17,29,Unknown,Georgia Station,13-231-9991,AQS
2005-01-18,29,Unknown,Georgia Station,13-231-9991,AQS
2005-01-19,30,Unknown,Georgia Station,13-231-9991,AQS
2005-01-20,32,Unknown,Georgia Station,13-231-9991,AQS
2005-01-21,44,Unknown,Georgia Station,13-231-9991,AQS
2005-01-22,24,Unknown,Georgia Station,13-231-9991,AQS
2005-01-23,32,Unknown,Georgia Station,13-231-9991,AQS
2005-01-24,34,Unknown,Georgia Station,13-231-9991,AQS
2005-01-25,43,Unknown,Georgia Station,13-231-9991,AQS
2005-01-26,46,Unknown,Georgia Station,13-231-9991,AQS
2005-01-27,24,Unknown,Georgia Station,13-231-9991,AQS
2005-01-28,31,Unknown,Georgia Station,13-231-9991,AQS
2005-02-01,24,Unknown,Georgia Station,13-231-9991,AQS
2005-02-02,24,Unknown,Georgia Station,13-231-9991,AQS
2005-02-03,13,Unknown,Georgia Station,13-231-9991,AQS
2005-02-04,25,Unknown,Georgia Station,13-231-9991,AQS
2005-02-05,38,Unknown,Georgia Station,13-231-9991,AQS
2005-02-06,41,Unknown,Georgia Station,13-231-9991,AQS
2005-02-07,43,Unknown,Georgia Station,13-231-9991,AQS
2005-02-08,31,Unknown,Georgia Station,13-231-9991,AQS
2005-02-09,27,Unknown,Georgia Station,13-231-9991,AQS
2005-02-10,34,Unknown,Georgia Station,13-231-9991,AQS
2005-02-11,37,Unknown,Georgia Station,13-231-9991,AQS
2005-02-12,49,Unknown,Georgia Station,13-231-9991,AQS
2005-02-13,48,Unknown,Georgia Station,13-231-9991,AQS
2005-02-14,39,Unknown,Georgia Station,13-231-9991,AQS
2005-02-15,35,Unknown,Georgia Station,13-231-9991,AQS
2005-02-16,32,Unknown,Georgia Station,13-231-9991,AQS
2005-02-17,36,Unknown,Georgia Station,13-231-9991,AQS
2005-02-18,39,Unknown,Georgia Station,13-231-9991,AQS
2005-02-19,46,Unknown,Georgia Station,13-231-9991,AQS
2005-02-20,44,Unknown,Georgia Station,13-231-9991,AQS
2005-02-21,33,Unknown,Georgia Station,13-231-9991,AQS
2005-02-22,34,Unknown,Georgia Station,13-231-9991,AQS
2005-02-23,45,Unknown,Georgia Station,13-231-9991,AQS
2005-02-24,33,Unknown,Georgia Station,13-231-9991,AQS
2005-02-25,31,Unknown,Georgia Station,13-231-9991,AQS
2005-02-26,34,Unknown,Georgia Station,13-231-9991,AQS
2005-02-27,31,Unknown,Georgia Station,13-231-9991,AQS
2005-02-28,31,Unknown,Georgia Station,13-231-9991,AQS
2005-03-01,37,Unknown,Douglasville,13-097-0004,AQS
2005-03-02,41,Unknown,Douglasville,13-097-0004,AQS
2005-03-03,43,Unknown,Dawsonville,13-085-0001,AQS
2005-03-04,47,Unknown,Dawsonville,13-085-0001,AQS
2005-03-05,49,Unknown,Newnan,13-077-0002,AQS
2005-03-06,43,Unknown,Douglasville,13-097-0004,AQS
2005-03-07,46,Unknown,Georgia Station,13-231-9991,AQS
2005-03-08,37,Unknown,Douglasville,13-097-0004,AQS
2005-03-09,34,Unknown,Dawsonville,13-085-0001,AQS
2005-03-10,39,Unknown,Georgia Station,13-231-9991,AQS
2005-03-11,42,Unknown,Douglasville,13-097-0004,AQS
2005-03-12,61,Unknown,Newnan,13-077-0002,AQS
2005-03-13,87,Unknown,Dawsonville,13-085-0001,AQS
2005-03-14,42,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-03-15,40,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-03-16,34,Unknown,Georgia Station,13-231-9991,AQS
2005-03-17,37,Unknown,Dawsonville,13-085-0001,AQS
2005-03-18,47,Unknown,Dawsonville,13-085-0001,AQS
2005-03-19,45,Unknown,Dawsonville,13-085-0001,AQS
2005-03-20,54,Unknown,Dawsonville,13-085-0001,AQS
2005-03-21,46,Unknown,Georgia Station,13-231-9991,AQS
2005-03-22,36,Unknown,Dawsonville,13-085-0001,AQS
2005-03-23,45,Unknown,Georgia Station,13-231-9991,AQS
2005-03-24,49,Unknown,Georgia Station,13-231-9991,AQS
2005-03-25,108,Unknown,Conyers,13-247-0001,AQS
2005-03-26,122,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-03-27,36,Unknown,Georgia Station,13-231-9991,AQS
2005-03-28,35,Unknown,Dawsonville,13-085-0001,AQS
2005-03-29,64,Unknown,Dawsonville,13-085-0001,AQS
2005-03-30,80,Unknown,Dawsonville,13-085-0001,AQS
2005-03-31,41,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-04-01,40,Unknown,Georgia Station,13-231-9991,AQS
2005-04-02,47,Unknown,Newnan,13-077-0002,AQS
2005-04-03,74,Unknown,Douglasville,13-097-0004,AQS
2005-04-04,93,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-04-05,80,Unknown,Dawsonville,13-085-0001,AQS
2005-04-06,74,Unknown,Dawsonville,13-085-0001,AQS
2005-04-07,44,Unknown,Dawsonville,13-085-0001,AQS
2005-04-08,51,Unknown,Douglasville,13-097-0004,AQS
2005-04-09,58,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-04-10,80,Unknown,Kennesaw,13-067-0003,AQS
2005-04-11,90,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-04-12,51,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-04-13,47,Unknown,Douglasville,13-097-0004,AQS
2005-04-14,58,Unknown,Dawsonville,13-085-0001,AQS
2005-04-15,87,Unknown,Georgia Station,13-231-9991,AQS
2005-04-16,84,Unknown,Georgia Station,13-231-9991,AQS
2005-04-17,108,Unknown,Douglasville,13-097-0004,AQS
2005-04-18,147,Unknown,Dawsonville,13-085-0001,AQS
2005-04-19,159,Unknown,Dawsonville,13-085-0001,AQS
2005-04-20,119,Unknown,Dawsonville,13-085-0001,AQS
2005-04-21,58,Unknown,Dawsonville,13-085-0001,AQS
2005-04-22,37,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-04-23,44,Unknown,Douglasville,13-097-0004,AQS
2005-04-24,51,Unknown,Douglasville,13-097-0004,AQS
2005-04-25,64,Unknown,Dawsonville,13-085-0001,AQS
2005-04-26,36,Unknown,Georgia Station,13-231-9991,AQS
2005-04-27,54,Unknown,Douglasville,13-097-0004,AQS
2005-04-28,71,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-04-29,67,Unknown,Georgia Station,13-231-9991,AQS
2005-04-30,42,Unknown,"Yorkville, King Farm",13-223-0003,AQS
