STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-19,,87.0,69.0
US1GADK0041,"DECATUR 2.6 NE, GA US",2022-07-19,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-19,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-19,,,
US1GADK0060,"DECATUR 3.9 SE, GA US",2022-07-19,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-19,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2022-07-19,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-19,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-19,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-19,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-19,,84.0,69.0
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-19,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-19,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-19,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-19,,,
US1GADK0057,"ATLANTA 4.4 E, GA US",2022-07-20,,,
US1GADK0041,"DECATUR 2.6 NE, GA US",2022-07-20,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-20,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-20,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-20,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-20,,92.0,74.0
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-20,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-20,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2022-07-20,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-20,,,
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-20,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-20,,,
US1GADK0060,"DECATUR 3.9 SE, GA US",2022-07-20,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-20,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-20,,91.0,72.0
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-20,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2022-07-20,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-20,,,
