Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2020-07-10,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-11,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-12,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-13,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-14,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-15,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-16,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-17,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-18,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-19,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-20,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-21,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-22,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-23,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-24,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-25,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-26,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-27,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-28,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-29,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-30,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-31,11,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-01,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-02,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-03,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-04,6,Unknown,Santa Clarita,06-037-6012,AQS
2020-08-05,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-06,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-07,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-08,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-09,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-10,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-11,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-12,9,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-13,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-14,10,Unknown,Azusa,06-037-0002,AQS
2020-08-15,10,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-16,13,Unknown,Lancaster-Division Street,06-037-9033,AQS
