"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/25/1990","AQS","130850001","2","0.083","ppm","143","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/26/1990","AQS","130850001","2","0.061","ppm","71","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/27/1990","AQS","130850001","2","0.036","ppm","33","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/28/1990","AQS","130850001","2","0.041","ppm","38","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/29/1990","AQS","130850001","2","0.059","ppm","64","Dawsonville","15","88.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/30/1990","AQS","130850001","2","0.054","ppm","50","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/31/1990","AQS","130850001","2","0.068","ppm","93","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/01/1990","AQS","130850001","2","0.039","ppm","36","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/02/1990","AQS","130850001","2","0.028","ppm","26","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/03/1990","AQS","130850001","2","0.037","ppm","34","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/04/1990","AQS","130850001","2","0.052","ppm","48","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/05/1990","AQS","130850001","2","0.071","ppm","101","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/06/1990","AQS","130850001","2","0.082","ppm","140","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/07/1990","AQS","130850001","2","0.052","ppm","48","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/08/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/09/1990","AQS","130850001","2","0.04","ppm","37","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/10/1990","AQS","130850001","2","0.052","ppm","48","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/11/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/12/1990","AQS","130850001","2","0.08","ppm","133","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/13/1990","AQS","130850001","2","0.086","ppm","151","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/14/1990","AQS","130850001","2","0.061","ppm","71","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/15/1990","AQS","130850001","2","0.053","ppm","49","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/16/1990","AQS","130850001","2","0.054","ppm","50","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/17/1990","AQS","130850001","2","0.055","ppm","51","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/18/1990","AQS","130850001","2","0.067","ppm","90","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/19/1990","AQS","130850001","2","0.056","ppm","54","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/20/1990","AQS","130850001","2","0.086","ppm","151","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/21/1990","AQS","130850001","2","0.056","ppm","54","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/22/1990","AQS","130850001","2","0.062","ppm","74","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/23/1990","AQS","130850001","2","0.055","ppm","51","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/24/1990","AQS","130850001","2","0.048","ppm","44","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/25/1990","AQS","130850001","2","0.059","ppm","64","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/26/1990","AQS","130850001","2","0.08","ppm","133","Dawsonville","15","88.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/27/1990","AQS","130850001","2","0.08","ppm","133","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/28/1990","AQS","130850001","2","0.076","ppm","119","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/29/1990","AQS","130850001","2","0.093","ppm","169","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"06/30/1990","AQS","130850001","2","0.075","ppm","115","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"07/01/1990","AQS","130850001","2","0.073","ppm","108","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"07/02/1990","AQS","130850001","2","0.062","ppm","74","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"07/03/1990","AQS","130850001","2","0.072","ppm","105","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"07/04/1990","AQS","130850001","2","0.074","ppm","112","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
