"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/02/2003","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/03/2003","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/04/2003","13","","South DeKalb","13-089-0002","AQS"
"10/05/2003","15","","South DeKalb","13-089-0002","AQS"
"10/06/2003","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/07/2003","15","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/08/2003","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/09/2003","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/10/2003","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/11/2003","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/12/2003","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/13/2003","16","","South DeKalb","13-089-0002","AQS"
"10/14/2003","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"10/15/2003","9","","South DeKalb","13-089-0002","AQS"
"10/16/2003","17","","South DeKalb","13-089-0002","AQS"
"10/17/2003","18","","South DeKalb","13-089-0002","AQS"
"10/18/2003","10","","South DeKalb","13-089-0002","AQS"
"10/19/2003","15","","South DeKalb","13-089-0002","AQS"
"10/20/2003","17","","South DeKalb","13-089-0002","AQS"
"10/21/2003","20","","South DeKalb","13-089-0002","AQS"
