"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/26/2006","55","","United Avenue","13-121-0055","AQS"
"06/27/2006","82","","United Avenue","13-121-0055","AQS"
"06/28/2006","103","","Gwinnett","13-135-0002","AQS"
"06/29/2006","86","","Newnan","13-077-0002","AQS"
"06/30/2006","97","","Newnan","13-077-0002","AQS"
"07/01/2006","85","","McDonough","13-151-0002","AQS"
"07/02/2006","117","","McDonough","13-151-0002","AQS"
"07/03/2006","135","","Yorkville, King Farm","13-223-0003","AQS"
"07/04/2006","132","","Gwinnett","13-135-0002","AQS"
"07/05/2006","86","","South DeKalb","13-089-0002","AQS"
"07/06/2006","80","","United Avenue","13-121-0055","AQS"
"07/07/2006","80","","South DeKalb","13-089-0002","AQS"
"07/08/2006","89","","United Avenue","13-121-0055","AQS"
"07/09/2006","103","","McDonough","13-151-0002","AQS"
"07/10/2006","116","","Not Available","13-297-0001","AQS"
"07/11/2006","115","","United Avenue","13-121-0055","AQS"
"07/12/2006","85","","United Avenue","13-121-0055","AQS"
"07/13/2006","80","","South DeKalb","13-089-0002","AQS"
"07/14/2006","72","","Gwinnett","13-135-0002","AQS"
"07/15/2006","81","","Gwinnett","13-135-0002","AQS"
"07/16/2006","85","","E. Rivers School","13-121-0032","AQS"
"07/17/2006","102","","McDonough","13-151-0002","AQS"
"07/18/2006","112","","Yorkville, King Farm","13-223-0003","AQS"
"07/19/2006","135","","Newnan","13-077-0002","AQS"
"07/20/2006","125","","United Avenue","13-121-0055","AQS"
"07/21/2006","117","","United Avenue","13-121-0055","AQS"
"07/22/2006","85","","McDonough","13-151-0002","AQS"
"07/23/2006","86","","United Avenue","13-121-0055","AQS"
"07/24/2006","95","","United Avenue","13-121-0055","AQS"
"07/25/2006","90","","United Avenue","13-121-0055","AQS"
"07/26/2006","67","","Not Available","13-297-0001","AQS"
"07/27/2006","81","","United Avenue","13-121-0055","AQS"
"07/28/2006","89","","Gwinnett","13-135-0002","AQS"
"07/29/2006","66","","United Avenue","13-121-0055","AQS"
"07/30/2006","77","","United Avenue","13-121-0055","AQS"
"07/31/2006","84","","Newnan","13-077-0002","AQS"
"08/01/2006","97","","Newnan","13-077-0002","AQS"
"08/02/2006","93","","McDonough","13-151-0002","AQS"
"08/03/2006","94","","McDonough","13-151-0002","AQS"
"08/04/2006","99","","United Avenue","13-121-0055","AQS"
"08/05/2006","80","","United Avenue","13-121-0055","AQS"
"08/06/2006","88","","United Avenue","13-121-0055","AQS"
"08/07/2006","111","","United Avenue","13-121-0055","AQS"
"08/08/2006","86","","United Avenue","13-121-0055","AQS"
"08/09/2006","82","","MACLAND AQUATIC CENTER","13-067-0004","AQS"
"08/10/2006","87","","United Avenue","13-121-0055","AQS"
"08/11/2006","66","","United Avenue","13-121-0055","AQS"
"08/12/2006","73","","United Avenue","13-121-0055","AQS"
"08/13/2006","64","","Newnan","13-077-0002","AQS"
"08/14/2006","66","","Yorkville, King Farm","13-223-0003","AQS"
"08/15/2006","74","","United Avenue","13-121-0055","AQS"
"08/16/2006","79","","Yorkville, King Farm","13-223-0003","AQS"
"08/17/2006","101","","United Avenue","13-121-0055","AQS"
"08/18/2006","108","","Newnan","13-077-0002","AQS"
"08/19/2006","116","","Gwinnett","13-135-0002","AQS"
"08/20/2006","131","","McDonough","13-151-0002","AQS"
"08/21/2006","91","","South DeKalb","13-089-0002","AQS"
"08/22/2006","77","","United Avenue","13-121-0055","AQS"
"08/23/2006","96","","United Avenue","13-121-0055","AQS"
"08/24/2006","116","","Yorkville, King Farm","13-223-0003","AQS"
"08/25/2006","77","","Yorkville, King Farm","13-223-0003","AQS"
"08/26/2006","72","","United Avenue","13-121-0055","AQS"
"08/27/2006","74","","United Avenue","13-121-0055","AQS"
"08/28/2006","71","","Gwinnett","13-135-0002","AQS"
"08/29/2006","74","","McDonough","13-151-0002","AQS"
"08/30/2006","87","","United Avenue","13-121-0055","AQS"
"08/31/2006","67","","Newnan","13-077-0002","AQS"
"09/01/2006","61","","Newnan","13-077-0002","AQS"
"09/02/2006","83","","United Avenue","13-121-0055","AQS"
"09/03/2006","84","","United Avenue","13-121-0055","AQS"
"09/04/2006","78","","United Avenue","13-121-0055","AQS"
"09/05/2006","102","","Gwinnett","13-135-0002","AQS"
"09/06/2006","89","","Newnan","13-077-0002","AQS"
"09/07/2006","71","","United Avenue","13-121-0055","AQS"
"09/08/2006","85","","South DeKalb","13-089-0002","AQS"
"09/09/2006","80","","United Avenue","13-121-0055","AQS"
"09/10/2006","92","","United Avenue","13-121-0055","AQS"
"09/11/2006","112","","Newnan","13-077-0002","AQS"
"09/12/2006","87","","United Avenue","13-121-0055","AQS"
"09/13/2006","56","","Newnan","13-077-0002","AQS"
"09/14/2006","67","","Forest Park","13-063-0091","AQS"
"09/15/2006","78","","United Avenue","13-121-0055","AQS"
"09/16/2006","88","","United Avenue","13-121-0055","AQS"
"09/17/2006","89","","Newnan","13-077-0002","AQS"
"09/18/2006","70","","Gwinnett","13-135-0002","AQS"
"09/19/2006","55","","Doraville","13-089-2001","AQS"
"09/20/2006","57","","United Avenue","13-121-0055","AQS"
"09/21/2006","65","","United Avenue","13-121-0055","AQS"
"09/22/2006","77","","United Avenue","13-121-0055","AQS"
"09/23/2006","69","","United Avenue","13-121-0055","AQS"
"09/24/2006","55","","United Avenue","13-121-0055","AQS"
"09/25/2006","53","","United Avenue","13-121-0055","AQS"
"09/26/2006","76","","Kennesaw","13-067-0003","AQS"
"09/27/2006","72","","United Avenue","13-121-0055","AQS"
"09/28/2006","70","","United Avenue","13-121-0055","AQS"
"09/29/2006","109","","Kennesaw","13-067-0003","AQS"
"09/30/2006","76","","United Avenue","13-121-0055","AQS"
"10/01/2006","75","","United Avenue","13-121-0055","AQS"
"10/02/2006","77","","Newnan","13-077-0002","AQS"
"10/03/2006","83","","United Avenue","13-121-0055","AQS"
"10/04/2006","93","","United Avenue","13-121-0055","AQS"
"10/05/2006","119","","E. Rivers School","13-121-0032","AQS"
"10/06/2006","70","","Not Available","13-297-0001","AQS"
